Comment,Designator,Footprint,JLCPCB Part #
USB_C_Receptacle_USB2.0,J601,HRO_TYPE-C-31-M-12,C165948
10u,"C707,C705",0402_C,
SN65HVD230,U101,SOIC-8,C12084
22R,"R206,R207,R502",0402_R,
3.3k,"R303,R702",0402_R,
0.1u,"C502,C501,C202,C204,C101,C401,C203,C201,C207,C208",0402_C,
18k,"R301,R302",0402_R,
AO3400A,Q501,SOT-23,C20917
10k,"R203,R401,R501,R202,R503",0402_R,
22u,C303,0602_C,
10n,C302,0402_C,
1u,"C706,C702",0402_C,
LED,"D301,D201,D701,D702",0603_D,C2290
100u,"C701,C704,C703",1206_C,
20p,"C205,C206",0402_C,
B5819W,D101,D_SOD-123,C8598
12MHz,Y201,Crystal_3225,C9002
SRV05-4,U601,SOT-23-6,C85364
STSPIN233,U301,VQFN-16,C2653468
5.1k,"R204,R701,R201,R205",0402_R,
XC6206,U701,SOT-23,C5446
47p,"C602,C601",0402_C,
STM32G431,U201,QFN-48,C529356
2.2u,C304,0402_C,
120R,R101,0402_R,
BUTTON,"SW201,SW202",TS-1187A-B-A-B,C318884
1n,C301,0402_C,
MT6701,U401,QFN-16,C2913974